Locality,count,mean,std,min,25%,50%,75%,max
Scoresby,33.0,953215.8181818182,206119.5707461834,740000.0,842222.0,894000.0,970000.0,1825000.0
Seabrook,24.0,573541.6666666666,112337.9912378814,370000.0,492250.0,581000.0,637500.0,790000.0
Seaford,144.0,697376.4375,148596.13176833894,276100.0,609375.0,682500.0,786500.0,1130000.0
Seaholme,6.0,1119333.5,274860.8828725907,715001.0,940750.0,1170000.0,1332500.0,1410000.0
Seddon,9.0,1073555.5555555555,252185.5027113529,865000.0,950000.0,1000000.0,1080000.0,1720000.0
Selby,20.0,733010.0,208010.99895008083,540000.0,597500.0,683350.0,787500.0,1337500.0
Seville,17.0,645470.5882352941,194152.4425699619,450000.0,515000.0,605000.0,695000.0,1135000.0
Seville East,12.0,528358.3333333334,108373.55814985778,365000.0,467800.0,505000.0,590500.0,705000.0
Sherbrooke,1.0,497500.0,,497500.0,497500.0,497500.0,497500.0,497500.0
Shoreham,6.0,1279166.6666666667,409312.30944923544,790000.0,979750.0,1267000.0,1555750.0,1815000.0
Silvan,11.0,904454.5454545454,351354.9099233889,480000.0,607000.0,860000.0,1085000.0,1650000.0
Skye,61.0,565732.7540983607,93424.94978692001,365000.0,517500.0,555698.0,615000.0,990000.0
Smiths Gully,1.0,956000.0,,956000.0,956000.0,956000.0,956000.0,956000.0
Somers,17.0,734970.5882352941,174442.9052896172,94000.0,755000.0,770000.0,817500.0,855000.0
Somerville,97.0,628239.1752577319,184064.87452158288,325500.0,520000.0,580000.0,705000.0,1362500.0
Sorrento,15.0,1359733.3333333333,724080.3493956679,880000.0,930000.0,1180000.0,1326000.0,3710000.0
South Kingsville,8.0,926000.0,211483.19757641,653000.0,793750.0,910000.0,1017500.0,1310000.0
South Morang,139.0,646207.4820143885,245013.45323552418,310000.0,545000.0,630000.0,709000.0,2950000.0
South Yarra,9.0,1931000.0,525452.4241070737,1400000.0,1625000.0,1810000.0,2000000.0,3075000.0
Southbank,69.0,616299.2753623188,218670.25916231552,284200.0,450000.0,580000.0,738000.0,1360000.0
Spotswood,11.0,1078318.1818181819,310407.8182590826,680000.0,833750.0,1100000.0,1247500.0,1656000.0
Springvale,77.0,882766.077922078,407343.2773398147,490000.0,685000.0,804000.0,917000.0,3100000.0
St Albans,221.0,652606.3348416289,166538.90988337202,256000.0,570000.0,632500.0,710000.0,1810000.0
St Andrews,7.0,709642.8571428572,174927.29782343726,430000.0,625750.0,670000.0,838000.0,940000.0
St Andrews Beach,13.0,1115307.6923076923,465954.82338516193,617000.0,715000.0,995000.0,1375000.0,1960000.0
St Helena,11.0,927590.9090909091,174319.36469908015,737500.0,838000.0,910000.0,921000.0,1387000.0
St Kilda,8.0,1579562.5,558794.5851499074,605000.0,1401250.0,1513000.0,1773875.0,2455000.0
St Kilda East,5.0,1521000.0,880968.2173608762,545000.0,1230000.0,1300000.0,1590000.0,2940000.0
Steels Creek,1.0,720000.0,,720000.0,720000.0,720000.0,720000.0,720000.0
Strathmore,23.0,1325130.4347826086,419060.56237817404,785000.0,1046000.0,1240000.0,1425000.0,2700000.0
Strathmore Heights,2.0,880000.0,162634.55967290592,765000.0,822500.0,880000.0,937500.0,995000.0
Sunbury,377.0,546250.5039787799,173590.10983346755,264000.0,430000.0,506000.0,610000.0,1500000.0
Sunshine,55.0,866441.8181818182,200109.78717333876,525000.0,737500.0,841000.0,947900.0,1505000.0
Sunshine North,39.0,740853.8461538461,119077.93300840697,470000.0,670500.0,725000.0,825000.0,1051000.0
Sunshine West,66.0,688022.7272727273,96159.06020828125,427000.0,636000.0,695250.0,756250.0,950000.0
Surrey Hills,50.0,1881426.0,820056.182945873,780000.0,1327500.0,1800000.0,2243750.0,4850000.0
Sydenham,57.0,587614.0350877193,125969.80992993702,341000.0,490000.0,590000.0,659500.0,900000.0
Tarneit,368.0,538941.4864130435,87913.45357917524,199000.0,479250.0,527000.0,590625.0,880000.0
